arm,held_out,n_train,k_bearings,test_fp,dataset
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.1,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.06666666666666667,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.05,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.1,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.16666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.06666666666666667,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,60,,0.05,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.05,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.05,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.0,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.03333333333333333,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
S2_new_records,Bearing1_3,160,,0.016666666666666666,PRONOSTIA
